group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
reads,100,queries,100,elements,39800.0,ns,1
reads,100,queries,100,elements,74400.0,ns,2
reads,100,queries,100,elements,110900.0,ns,3
reads,100,queries,100,elements,184000.0,ns,4
reads,100,queries,100,elements,185100.0,ns,5
reads,100,queries,100,elements,262600.0,ns,6
reads,100,queries,100,elements,349400.0,ns,7
reads,100,queries,100,elements,336700.0,ns,8
reads,100,queries,100,elements,357800.0,ns,9
reads,100,queries,100,elements,440800.0,ns,10
reads,100,queries,100,elements,482900.0,ns,11
reads,100,queries,100,elements,442800.0,ns,12
reads,100,queries,100,elements,530500.0,ns,13
reads,100,queries,100,elements,578400.0,ns,14
reads,100,queries,100,elements,580000.0,ns,15
reads,100,queries,100,elements,628600.0,ns,16
reads,100,queries,100,elements,696900.0,ns,17
reads,100,queries,100,elements,789100.0,ns,18
reads,100,queries,100,elements,846100.0,ns,19
reads,100,queries,100,elements,756000.0,ns,20
reads,100,queries,100,elements,791000.0,ns,21
reads,100,queries,100,elements,842600.0,ns,22
reads,100,queries,100,elements,858000.0,ns,23
reads,100,queries,100,elements,921100.0,ns,24
reads,100,queries,100,elements,1011700.0,ns,25
reads,100,queries,100,elements,1042000.0,ns,26
reads,100,queries,100,elements,1012200.0,ns,27
reads,100,queries,100,elements,1079600.0,ns,28
reads,100,queries,100,elements,1259500.0,ns,29
reads,100,queries,100,elements,1409400.0,ns,30
reads,100,queries,100,elements,1231900.0,ns,31
reads,100,queries,100,elements,1335400.0,ns,32
reads,100,queries,100,elements,1328800.0,ns,33
reads,100,queries,100,elements,1558600.0,ns,34
reads,100,queries,100,elements,1399100.0,ns,35
reads,100,queries,100,elements,1374100.0,ns,36
reads,100,queries,100,elements,1407300.0,ns,37
reads,100,queries,100,elements,1526100.0,ns,38
reads,100,queries,100,elements,1490000.0,ns,39
reads,100,queries,100,elements,1551400.0,ns,40
reads,100,queries,100,elements,1682400.0,ns,41
reads,100,queries,100,elements,1684800.0,ns,42
reads,100,queries,100,elements,1916100.0,ns,43
reads,100,queries,100,elements,1917500.0,ns,44
reads,100,queries,100,elements,1777600.0,ns,45
reads,100,queries,100,elements,1793400.0,ns,46
reads,100,queries,100,elements,1860400.0,ns,47
reads,100,queries,100,elements,1836500.0,ns,48
reads,100,queries,100,elements,1915300.0,ns,49
reads,100,queries,100,elements,2026600.0,ns,50
reads,100,queries,100,elements,2201000.0,ns,51
reads,100,queries,100,elements,2131600.0,ns,52
reads,100,queries,100,elements,2144600.0,ns,53
reads,100,queries,100,elements,2075300.0,ns,54
reads,100,queries,100,elements,2301200.0,ns,55
reads,100,queries,100,elements,2326900.0,ns,56
reads,100,queries,100,elements,2407700.0,ns,57
reads,100,queries,100,elements,2645000.0,ns,58
reads,100,queries,100,elements,2342900.0,ns,59
reads,100,queries,100,elements,2503800.0,ns,60
reads,100,queries,100,elements,2348100.0,ns,61
reads,100,queries,100,elements,2394100.0,ns,62
reads,100,queries,100,elements,2384400.0,ns,63
reads,100,queries,100,elements,2747300.0,ns,64
reads,100,queries,100,elements,2560800.0,ns,65
reads,100,queries,100,elements,2640000.0,ns,66
reads,100,queries,100,elements,2815800.0,ns,67
reads,100,queries,100,elements,2605200.0,ns,68
reads,100,queries,100,elements,2882600.0,ns,69
reads,100,queries,100,elements,3500100.0,ns,70
reads,100,queries,100,elements,2923900.0,ns,71
reads,100,queries,100,elements,3075500.0,ns,72
reads,100,queries,100,elements,2828800.0,ns,73
reads,100,queries,100,elements,2852400.0,ns,74
reads,100,queries,100,elements,2904700.0,ns,75
reads,100,queries,100,elements,3211700.0,ns,76
reads,100,queries,100,elements,2978900.0,ns,77
reads,100,queries,100,elements,3144400.0,ns,78
reads,100,queries,100,elements,3008600.0,ns,79
reads,100,queries,100,elements,3628700.0,ns,80
reads,100,queries,100,elements,3913300.0,ns,81
reads,100,queries,100,elements,3256000.0,ns,82
reads,100,queries,100,elements,3428900.0,ns,83
reads,100,queries,100,elements,3452600.0,ns,84
reads,100,queries,100,elements,3297200.0,ns,85
reads,100,queries,100,elements,3657300.0,ns,86
reads,100,queries,100,elements,3697900.0,ns,87
reads,100,queries,100,elements,3866200.0,ns,88
reads,100,queries,100,elements,3856100.0,ns,89
reads,100,queries,100,elements,3840800.0,ns,90
reads,100,queries,100,elements,3622000.0,ns,91
reads,100,queries,100,elements,4108500.0,ns,92
reads,100,queries,100,elements,3665800.0,ns,93
reads,100,queries,100,elements,3851700.0,ns,94
reads,100,queries,100,elements,3918200.0,ns,95
reads,100,queries,100,elements,4259700.0,ns,96
reads,100,queries,100,elements,6525400.0,ns,97
reads,100,queries,100,elements,5967100.0,ns,98
reads,100,queries,100,elements,4553600.0,ns,99
reads,100,queries,100,elements,4401500.0,ns,100
