group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
reads,10000,queries,10000,elements,92982400.0,ns,16
reads,10000,queries,10000,elements,187107100.0,ns,32
reads,10000,queries,10000,elements,292562500.0,ns,48
reads,10000,queries,10000,elements,390955900.0,ns,64
reads,10000,queries,10000,elements,472439400.0,ns,80
reads,10000,queries,10000,elements,566860700.0,ns,96
reads,10000,queries,10000,elements,670234200.0,ns,112
reads,10000,queries,10000,elements,754570400.0,ns,128
reads,10000,queries,10000,elements,861658100.0,ns,144
reads,10000,queries,10000,elements,978505800.0,ns,160
